chemical.id,conc,plate.id,well,remove,bottle.id,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49
3530,1,18046,D04,0,C125605,0,0,0,16.2760259375,0,0,0,0,0,0,16.775180875,1.41059,0.021701375,0,0,0,0,0,0,0,0,17.209196875,0,0,0.021701375,0,0,0,0,0,0,0,4.62239375,3.21180625,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18046,E04,0,C125605,6.0980875,6.423605625,0,0,0,0,0,10.872399625,0,10.8289965,0,0,0,0,4.3185625,6.5321118125,0,0,0,9.8958309375,0,0,0,0,10.004340625,0,0,10.0694440625,0,0,0.021701375,0,0,0,0,12.2612695,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18046,F04,0,C125605,0,0,18.7066221875,0,0,0,0,0,0,0,0,0,0,0,16.40626625,3.2552075,0,0,0,0,0,2.973090625,15.1041478125,0,0,0,0,6.6623121875,3.08159825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18046,G04,0,C125605,0,0,0,0,0,0,0,0,0,6.141506875,7.96441825,0,0,0,0,13.476575125,0,0,0,0,0,0,0,0,0,0,0,0,12.6736196875,0.021701375,0,9.7873375,3.4722204375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,0,18046,H04,0,C125605,0.434028125,0,0,5.013020625,0,0,0,0,17.534693125,0.9548625,9.375004375,0,0,0,0,18.337696875,0,0,0,0,0,0,0,0,0,0,18.53299375,0.520834375,0,0,0,17.90365875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18046,A05,0,C125605,0.412325,0,0,0,0,0,0,0,2.669271875,14.64841375,0,0,0,0,12.9774184375,0,0,0,0,0,13.736971875,3.862845625,0,0,0,6.011295,9.2447848125,0,0,0,0,0,13.9756825,24.3923590625,1.4322923125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18046,B05,0,C125605,0,0,0,0,21.4843615625,0,0,0,0,0,13.671865625,0.0868054375,0,0,0,0,0,0,0,0,0,2.582465625,6.8576295,0,0,5.338553125,1.1284728125,0,0,13.1076411875,0,0,3.754340625,3.059896875,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0
3530,1,18046,C05,0,C125605,0,0,0,20.98524125,0,0,0,0,0,0,6.0763879375,0,0.021701375,5.989571875,14.58333325,0,0,23.7630135625,0,0,0,0,0,25.71615,0.0651041875,0,0,0,0,25.238717,0,0,17.4045059375,36.7621704375,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18046,D05,0,C125605,21.571167,0,0,0,0,0,20.2908059375,0,0,0,23.5459696875,0,0.021701375,0,0,0,19.618049375,0,0,0.021701375,0,0,0,22.3524465625,0.0651041875,0,0,21.788178125,0.021701375,0,0,0,0,0,0,20.1388890625,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0
3530,1,18046,E05,0,C125605,0,0,0,22.2221979375,0,0,0,0,0.021701375,19.140617,0,4.96961875,2.8645846875,0,21.3324909375,0,0,0,0,0,0,10.091146875,0.93316075,0,0,21.02865,0,13.0859403125,0,0,0,6.1198,20.26911,49.1102175,51.128465625,48.632805875,5.42535625,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18046,F05,0,C125605,0,0.021701375,0,0,13.7152775,0,0,0,0,0,0,0,0,0,0,5.83767,0,0,0,0,0,0,0,0,0,0,0,17.5347278125,0,0,0,0,0,0,0,0,6.25,0.455728125,0,0.021701375,0,0,0,0,0,0,0,0,0
