chemical.id,bottle.id,conc,plate.id,well,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49
3530,C125605,1,18034,B07,0,0,0,0,0,0,9.5052215625,0,8.5069554375,0,0,0,0,0,0,7.22655375,0.021701375,0,0,0.0651040625,4.7526036875,0,0,0,0,0,1.2152775,1.3671885,0,0,3.580729375,1.45399275,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,B08,0,0,0,0,0,0,0,0,0.021701375,0.021701375,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,B09,0.021701375,0,0,10.0911284375,0,0,0,0,4.38367125,0.3472223125,0,0,0,0,4.774301375,0,12.6302104375,12.7170340625,0,0,0,0,0,0,0,6.1848960625,0.0434028125,0,10.89408775,0,0,0,6.293395125,0,0,0,0,0,0,0,0,5.533853125,0.1519096875,0,0,0.021701375,0,0,0.021701375
3530,C125605,1,18034,B10,7.443590125,0,0,0,0,0,0,4.8828141875,0.17361125,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51040625,1.4756948125,0,0,0,0,0,0,5.164930875,0.1302084375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,B11,0,0,0,4.730903125,0,0.52083325,0,0.390625,0,0,0,0,0,0,0,9.5703153125,2.647565625,0,0,0,0,0,0,0,0,0,0,0,0.9114573125,0,0.54253375,0,0,0.651042125,0.13020825,0.1736110625,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,B12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,C01,0,0,0,5.5772559375,0.021701375,0,0,0,3.88455,0.390625,0,0,3.255207625,0,3.2552104375,0.0651041875,0,0,4.730901,0,0,0,0,0,6.336807625,0,0,0,4.05816125,0,0,0,0,0,0,0,0,0,0,0,0,6.857636875,0,0,0,0,0,0,0
3530,C125605,1,18034,C02,0,0,0,0,0,0,0,0,0,0,0,0,3.993053125,0,0,0,0,0,0,2.994790625,5.4036474375,7.4218741875,1.996526375,0,0,0,0,1.7578125,1.6927078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,C03,0,0,0.455728125,2.365450125,0,13.3246510625,0,0,0,0.021701375,6.553817625,0,0.49913125,1.671005625,0,0,0,0,0,4.0364571875,0.3255209375,0,0,0,0.021701375,2.9079835625,0.0434028125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,C04,0,0,0,0,0.021701375,0,11.132825125,0,0,0,0,10.373257625,8.572056375,1.432292625,0,0,0,0,0,0,0,0,0,8.4418276875,0,0,0,0,0.021701375,0,7.855905125,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0
